"model","model_title","routing","seed","average_loads","flow_peak_rate","accepted_rate","avg_packet_latency","xy_packets","racke_packets","xy_fraction","log_path"
"linear_scale","Linear Scaling on Fixed Permutation Matrix","dim_order","2201","0.05,0.1,0.15,0.2,0.25,0.3,0.35,0.4,0.45,0.5,0.55,0.6,0.65,0.7,0.75,0.8,0.8,0.8","0.8","0.534995","4289.53","","","","D:\noc_huawei\noc\booksim2-noc_speedup_study\booksim2-noc_speedup_study\tests\data\results\fixed_perm_growth_models_perm_4_3_6_1_8_7_2_5_0_peak_0p8_current_defaults\logs\linear_scale_dim_order_s2201.log"
"linear_scale","Linear Scaling on Fixed Permutation Matrix","dim_order","2202","0.05,0.1,0.15,0.2,0.25,0.3,0.35,0.4,0.45,0.5,0.55,0.6,0.65,0.7,0.75,0.8,0.8,0.8","0.8","0.535519","4234.97","","","","D:\noc_huawei\noc\booksim2-noc_speedup_study\booksim2-noc_speedup_study\tests\data\results\fixed_perm_growth_models_perm_4_3_6_1_8_7_2_5_0_peak_0p8_current_defaults\logs\linear_scale_dim_order_s2202.log"
"linear_scale","Linear Scaling on Fixed Permutation Matrix","dim_order","2203","0.05,0.1,0.15,0.2,0.25,0.3,0.35,0.4,0.45,0.5,0.55,0.6,0.65,0.7,0.75,0.8,0.8,0.8","0.8","0.536068","4267.35","","","","D:\noc_huawei\noc\booksim2-noc_speedup_study\booksim2-noc_speedup_study\tests\data\results\fixed_perm_growth_models_perm_4_3_6_1_8_7_2_5_0_peak_0p8_current_defaults\logs\linear_scale_dim_order_s2203.log"
"linear_scale","Linear Scaling on Fixed Permutation Matrix","dim_order","2204","0.05,0.1,0.15,0.2,0.25,0.3,0.35,0.4,0.45,0.5,0.55,0.6,0.65,0.7,0.75,0.8,0.8,0.8","0.8","0.535086","4240.44","","","","D:\noc_huawei\noc\booksim2-noc_speedup_study\booksim2-noc_speedup_study\tests\data\results\fixed_perm_growth_models_perm_4_3_6_1_8_7_2_5_0_peak_0p8_current_defaults\logs\linear_scale_dim_order_s2204.log"
"linear_scale","Linear Scaling on Fixed Permutation Matrix","dim_order","2205","0.05,0.1,0.15,0.2,0.25,0.3,0.35,0.4,0.45,0.5,0.55,0.6,0.65,0.7,0.75,0.8,0.8,0.8","0.8","0.535049","4274.22","","","","D:\noc_huawei\noc\booksim2-noc_speedup_study\booksim2-noc_speedup_study\tests\data\results\fixed_perm_growth_models_perm_4_3_6_1_8_7_2_5_0_peak_0p8_current_defaults\logs\linear_scale_dim_order_s2205.log"
"linear_scale","Linear Scaling on Fixed Permutation Matrix","racke_tree","2201","0.05,0.1,0.15,0.2,0.25,0.3,0.35,0.4,0.45,0.5,0.55,0.6,0.65,0.7,0.75,0.8,0.8,0.8","0.8","0.531403","16.3546","","","","D:\noc_huawei\noc\booksim2-noc_speedup_study\booksim2-noc_speedup_study\tests\data\results\fixed_perm_growth_models_perm_4_3_6_1_8_7_2_5_0_peak_0p8_current_defaults\logs\linear_scale_racke_tree_s2201.log"
"linear_scale","Linear Scaling on Fixed Permutation Matrix","racke_tree","2202","0.05,0.1,0.15,0.2,0.25,0.3,0.35,0.4,0.45,0.5,0.55,0.6,0.65,0.7,0.75,0.8,0.8,0.8","0.8","0.532362","16.3889","","","","D:\noc_huawei\noc\booksim2-noc_speedup_study\booksim2-noc_speedup_study\tests\data\results\fixed_perm_growth_models_perm_4_3_6_1_8_7_2_5_0_peak_0p8_current_defaults\logs\linear_scale_racke_tree_s2202.log"
"linear_scale","Linear Scaling on Fixed Permutation Matrix","racke_tree","2203","0.05,0.1,0.15,0.2,0.25,0.3,0.35,0.4,0.45,0.5,0.55,0.6,0.65,0.7,0.75,0.8,0.8,0.8","0.8","0.532983","16.3873","","","","D:\noc_huawei\noc\booksim2-noc_speedup_study\booksim2-noc_speedup_study\tests\data\results\fixed_perm_growth_models_perm_4_3_6_1_8_7_2_5_0_peak_0p8_current_defaults\logs\linear_scale_racke_tree_s2203.log"
"linear_scale","Linear Scaling on Fixed Permutation Matrix","racke_tree","2204","0.05,0.1,0.15,0.2,0.25,0.3,0.35,0.4,0.45,0.5,0.55,0.6,0.65,0.7,0.75,0.8,0.8,0.8","0.8","0.532471","16.4116","","","","D:\noc_huawei\noc\booksim2-noc_speedup_study\booksim2-noc_speedup_study\tests\data\results\fixed_perm_growth_models_perm_4_3_6_1_8_7_2_5_0_peak_0p8_current_defaults\logs\linear_scale_racke_tree_s2204.log"
"linear_scale","Linear Scaling on Fixed Permutation Matrix","racke_tree","2205","0.05,0.1,0.15,0.2,0.25,0.3,0.35,0.4,0.45,0.5,0.55,0.6,0.65,0.7,0.75,0.8,0.8,0.8","0.8","0.532048","16.4004","","","","D:\noc_huawei\noc\booksim2-noc_speedup_study\booksim2-noc_speedup_study\tests\data\results\fixed_perm_growth_models_perm_4_3_6_1_8_7_2_5_0_peak_0p8_current_defaults\logs\linear_scale_racke_tree_s2205.log"
