"model","routing","seed","phase_index","average_load","accepted_rate","avg_packet_latency","xy_fraction","racke_fraction"
"linear_scale","racke_tree","2202","11","0.6","0.375333","13.5923","0","1"
"linear_scale","racke_tree","2202","12","0.6","0.395801","13.6402","0","1"
"linear_scale","racke_tree","2202","13","0.6","0.412735","13.6801","0","1"
"linear_scale","racke_tree","2202","14","0.6","0.426909","13.7093","0","1"
"linear_scale","racke_tree","2202","15","0.6","0.439463","13.7333","0","1"
"linear_scale","racke_tree","2203","0","0.05","0.0511111","12.9355","0","1"
"linear_scale","racke_tree","2203","1","0.1","0.0756111","13.0397","0","1"
"linear_scale","racke_tree","2203","2","0.15","0.153074","13.1239","0","1"
"linear_scale","racke_tree","2203","3","0.2","0.177037","13.2074","0","1"
"linear_scale","racke_tree","2203","4","0.25","0.202148","13.2471","0","1"
"linear_scale","racke_tree","2203","5","0.3","0.226926","13.2984","0","1"
"linear_scale","racke_tree","2203","6","0.35","0.251919","13.3347","0","1"
"linear_scale","racke_tree","2203","7","0.4","0.276691","13.3846","0","1"
"linear_scale","racke_tree","2203","8","0.45","0.30181","13.433","0","1"
"linear_scale","racke_tree","2203","9","0.5","0.32669","13.486","0","1"
"linear_scale","racke_tree","2203","10","0.55","0.351383","13.5487","0","1"
"linear_scale","racke_tree","2203","11","0.6","0.376511","13.6143","0","1"
"linear_scale","racke_tree","2203","12","0.6","0.39733","13.6633","0","1"
"linear_scale","racke_tree","2203","13","0.6","0.41433","13.7","0","1"
"linear_scale","racke_tree","2203","14","0.6","0.428726","13.7293","0","1"
"linear_scale","racke_tree","2203","15","0.6","0.440812","13.7517","0","1"
"linear_scale","hybrid_xy_racke","2201","0","0.05","0.0481852","11.0238","1","0"
"linear_scale","hybrid_xy_racke","2201","1","0.1","0.0742963","11.068","1","0"
"linear_scale","hybrid_xy_racke","2201","2","0.15","0.148667","11.0235","1","0"
"linear_scale","hybrid_xy_racke","2201","3","0.2","0.173741","11.0756","1","0"
"linear_scale","hybrid_xy_racke","2201","4","0.25","0.198333","11.0788","1","0"
"linear_scale","hybrid_xy_racke","2201","5","0.3","0.224954","11.1079","1","0"
"linear_scale","hybrid_xy_racke","2201","6","0.35","0.249904","11.1399","1","0"
"linear_scale","hybrid_xy_racke","2201","7","0.4","0.275198","11.2196","1","0"
"linear_scale","hybrid_xy_racke","2201","8","0.45","0.300101","11.42","1","0"
"linear_scale","hybrid_xy_racke","2201","9","0.5","0.325343","14.0766","0.977789","0.022211"
"linear_scale","hybrid_xy_racke","2201","10","0.55","0.350325","17.9652","0.847633","0.152367"
"linear_scale","hybrid_xy_racke","2201","11","0.6","0.374981","21.2103","0.759017","0.240983"
"linear_scale","hybrid_xy_racke","2201","12","0.6","0.39529","23.8183","0.742399","0.257601"
"linear_scale","hybrid_xy_racke","2201","13","0.6","0.412179","26.0679","0.729701","0.270299"
"linear_scale","hybrid_xy_racke","2201","14","0.6","0.425863","27.3808","0.771416","0.228584"
"linear_scale","hybrid_xy_racke","2201","15","0.6","0.438709","28.6524","0.734664","0.265336"
"linear_scale","hybrid_xy_racke","2202","0","0.05","0.0505185","11.0132","1","0"
"linear_scale","hybrid_xy_racke","2202","1","0.1","0.0742963","10.985","1","0"
"linear_scale","hybrid_xy_racke","2202","2","0.15","0.149741","10.9581","1","0"
"linear_scale","hybrid_xy_racke","2202","3","0.2","0.176204","11.0059","1","0"
"linear_scale","hybrid_xy_racke","2202","4","0.25","0.201012","11.0166","1","0"
"linear_scale","hybrid_xy_racke","2202","5","0.3","0.226176","11.0627","1","0"
"linear_scale","hybrid_xy_racke","2202","6","0.35","0.250652","11.1099","1","0"
"linear_scale","hybrid_xy_racke","2202","7","0.4","0.275691","11.1775","1","0"
"linear_scale","hybrid_xy_racke","2202","8","0.45","0.301042","11.3864","1","0"
"linear_scale","hybrid_xy_racke","2202","9","0.5","0.325338","12.2792","1","0"
"linear_scale","hybrid_xy_racke","2202","10","0.55","0.35023","17.0308","0.856655","0.143345"
"linear_scale","hybrid_xy_racke","2202","11","0.6","0.374759","20.8404","0.750062","0.249938"
"linear_scale","hybrid_xy_racke","2202","12","0.6","0.395418","23.8242","0.739256","0.260744"
"linear_scale","hybrid_xy_racke","2202","13","0.6","0.412546","26.0202","0.734828","0.265172"
"linear_scale","hybrid_xy_racke","2202","14","0.6","0.42716","27.4692","0.74722","0.25278"
"linear_scale","hybrid_xy_racke","2202","15","0.6","0.439582","28.7622","0.742264","0.257736"
"linear_scale","hybrid_xy_racke","2203","0","0.05","0.0511852","10.8444","1","0"
"linear_scale","hybrid_xy_racke","2203","1","0.1","0.0756481","10.954","1","0"
"linear_scale","hybrid_xy_racke","2203","2","0.15","0.153037","11.0041","1","0"
"linear_scale","hybrid_xy_racke","2203","3","0.2","0.177074","11.0913","1","0"
"linear_scale","hybrid_xy_racke","2203","4","0.25","0.202198","11.102","1","0"
"linear_scale","hybrid_xy_racke","2203","5","0.3","0.226981","11.1389","1","0"
"linear_scale","hybrid_xy_racke","2203","6","0.35","0.251948","11.1702","1","0"
"linear_scale","hybrid_xy_racke","2203","7","0.4","0.276704","11.2645","1","0"
"linear_scale","hybrid_xy_racke","2203","8","0.45","0.301831","11.4132","1","0"
"linear_scale","hybrid_xy_racke","2203","9","0.5","0.326389","12.5081","0.992002","0.00799799999999995"
"linear_scale","hybrid_xy_racke","2203","10","0.55","0.351004","16.1335","0.863899","0.136101"
"linear_scale","hybrid_xy_racke","2203","11","0.6","0.375889","19.8846","0.765718","0.234282"
"linear_scale","hybrid_xy_racke","2203","12","0.6","0.39662","22.784","0.724703","0.275297"
"linear_scale","hybrid_xy_racke","2203","13","0.6","0.413636","25.0092","0.738384","0.261616"
"linear_scale","hybrid_xy_racke","2203","14","0.6","0.428057","26.6603","0.739087","0.260913"
"linear_scale","hybrid_xy_racke","2203","15","0.6","0.44045","28.076","0.743208","0.256792"
"ordered_fill","dim_order","2201","0","0.05","0.050037","8","1","0"
"ordered_fill","dim_order","2201","1","0.1","0.0735185","8","1","0"
"ordered_fill","dim_order","2201","2","0.15","0.149889","8.32649","1","0"
"ordered_fill","dim_order","2201","3","0.2","0.175259","8.70433","1","0"
