"model","model_title","routing","phase_index","average_load","accepted_rate_avg","avg_packet_latency_avg","xy_fraction_avg","racke_fraction_avg"
"linear_scale","Linear Scaling on Fixed Permutation Matrix","hybrid_xy_racke","12","0.6","0.395776","23.4755","0.735452666666667","0.264547333333333"
"linear_scale","Linear Scaling on Fixed Permutation Matrix","hybrid_xy_racke","13","0.6","0.412787","25.6991","0.734304333333333","0.265695666666667"
"linear_scale","Linear Scaling on Fixed Permutation Matrix","hybrid_xy_racke","14","0.6","0.427026666666667","27.1701","0.752574333333333","0.247425666666667"
"linear_scale","Linear Scaling on Fixed Permutation Matrix","hybrid_xy_racke","15","0.6","0.439580333333333","28.4968666666667","0.740045333333333","0.259954666666667"
"ordered_fill","Ordered Fill on Fixed Permutation Matrix","dim_order","0","0.05","0.0491481333333333","8","1","0"
"ordered_fill","Ordered Fill on Fixed Permutation Matrix","dim_order","1","0.1","0.0741728333333333","8","1","0"
"ordered_fill","Ordered Fill on Fixed Permutation Matrix","dim_order","2","0.15","0.149284","8.33221","1","0"
"ordered_fill","Ordered Fill on Fixed Permutation Matrix","dim_order","3","0.2","0.175376666666667","8.71309333333333","1","0"
"ordered_fill","Ordered Fill on Fixed Permutation Matrix","dim_order","4","0.25","0.200646","8.74897","1","0"
"ordered_fill","Ordered Fill on Fixed Permutation Matrix","dim_order","5","0.3","0.225772","8.83130666666666","1","0"
"ordered_fill","Ordered Fill on Fixed Permutation Matrix","dim_order","6","0.35","0.250520666666667","9.03621666666667","1","0"
"ordered_fill","Ordered Fill on Fixed Permutation Matrix","dim_order","7","0.4","0.275349666666667","9.38880333333333","1","0"
"ordered_fill","Ordered Fill on Fixed Permutation Matrix","dim_order","8","0.45","0.299814666666667","13.4549","1","0"
"ordered_fill","Ordered Fill on Fixed Permutation Matrix","dim_order","9","0.5","0.321859666666667","27.8246333333333","1","0"
"ordered_fill","Ordered Fill on Fixed Permutation Matrix","dim_order","10","0.55","0.342245666666667","65.1780666666667","1","0"
"ordered_fill","Ordered Fill on Fixed Permutation Matrix","dim_order","11","0.6","0.363547","121.873","1","0"
"ordered_fill","Ordered Fill on Fixed Permutation Matrix","dim_order","12","0.6","0.381098666666667","189.444","1","0"
"ordered_fill","Ordered Fill on Fixed Permutation Matrix","dim_order","13","0.6","0.395605","265.028666666667","1","0"
"ordered_fill","Ordered Fill on Fixed Permutation Matrix","dim_order","14","0.6","0.408086333333333","345.816666666667","1","0"
"ordered_fill","Ordered Fill on Fixed Permutation Matrix","dim_order","15","0.6","0.418533333333333","430.158","1","0"
"ordered_fill","Ordered Fill on Fixed Permutation Matrix","racke_tree","0","0.05","0.0490987666666667","10.142","0","1"
"ordered_fill","Ordered Fill on Fixed Permutation Matrix","racke_tree","1","0.1","0.0741358","10.4190333333333","0","1"
"ordered_fill","Ordered Fill on Fixed Permutation Matrix","racke_tree","2","0.15","0.14921","11.1539","0","1"
"ordered_fill","Ordered Fill on Fixed Permutation Matrix","racke_tree","3","0.2","0.175314666666667","11.6861","0","1"
"ordered_fill","Ordered Fill on Fixed Permutation Matrix","racke_tree","4","0.25","0.200592666666667","11.8183666666667","0","1"
"ordered_fill","Ordered Fill on Fixed Permutation Matrix","racke_tree","5","0.3","0.225722","11.9294","0","1"
"ordered_fill","Ordered Fill on Fixed Permutation Matrix","racke_tree","6","0.35","0.250469","12.0963333333333","0","1"
"ordered_fill","Ordered Fill on Fixed Permutation Matrix","racke_tree","7","0.4","0.275298333333333","12.3669666666667","0","1"
"ordered_fill","Ordered Fill on Fixed Permutation Matrix","racke_tree","8","0.45","0.300460333333333","12.5837666666667","0","1"
"ordered_fill","Ordered Fill on Fixed Permutation Matrix","racke_tree","9","0.5","0.325461666666667","12.7883666666667","0","1"
"ordered_fill","Ordered Fill on Fixed Permutation Matrix","racke_tree","10","0.55","0.350329333333333","12.9816","0","1"
"ordered_fill","Ordered Fill on Fixed Permutation Matrix","racke_tree","11","0.6","0.375279333333333","13.1368","0","1"
"ordered_fill","Ordered Fill on Fixed Permutation Matrix","racke_tree","12","0.6","0.395872333333333","13.2509","0","1"
"ordered_fill","Ordered Fill on Fixed Permutation Matrix","racke_tree","13","0.6","0.412865333333333","13.3377333333333","0","1"
"ordered_fill","Ordered Fill on Fixed Permutation Matrix","racke_tree","14","0.6","0.42728","13.4031666666667","0","1"
"ordered_fill","Ordered Fill on Fixed Permutation Matrix","racke_tree","15","0.6","0.439525666666667","13.4571666666667","0","1"
"ordered_fill","Ordered Fill on Fixed Permutation Matrix","hybrid_xy_racke","0","0.05","0.0491481333333333","8","1","0"
"ordered_fill","Ordered Fill on Fixed Permutation Matrix","hybrid_xy_racke","1","0.1","0.0741728333333333","8","1","0"
"ordered_fill","Ordered Fill on Fixed Permutation Matrix","hybrid_xy_racke","2","0.15","0.149284","8.33221","1","0"
"ordered_fill","Ordered Fill on Fixed Permutation Matrix","hybrid_xy_racke","3","0.2","0.175376666666667","8.71309333333333","1","0"
"ordered_fill","Ordered Fill on Fixed Permutation Matrix","hybrid_xy_racke","4","0.25","0.200646","8.74897","1","0"
"ordered_fill","Ordered Fill on Fixed Permutation Matrix","hybrid_xy_racke","5","0.3","0.225772","8.83130666666666","1","0"
"ordered_fill","Ordered Fill on Fixed Permutation Matrix","hybrid_xy_racke","6","0.35","0.250520666666667","9.03621666666667","1","0"
"ordered_fill","Ordered Fill on Fixed Permutation Matrix","hybrid_xy_racke","7","0.4","0.275349666666667","9.38880333333333","1","0"
"ordered_fill","Ordered Fill on Fixed Permutation Matrix","hybrid_xy_racke","8","0.45","0.299949","12.2157666666667","0.963794666666667","0.0362053333333334"
"ordered_fill","Ordered Fill on Fixed Permutation Matrix","hybrid_xy_racke","9","0.5","0.325006333333333","15.3914","0.786277","0.213723"
"ordered_fill","Ordered Fill on Fixed Permutation Matrix","hybrid_xy_racke","10","0.55","0.349828666666667","20.25","0.724219333333333","0.275780666666667"
"ordered_fill","Ordered Fill on Fixed Permutation Matrix","hybrid_xy_racke","11","0.6","0.374945666666667","23.7084","0.737693","0.262307"
"ordered_fill","Ordered Fill on Fixed Permutation Matrix","hybrid_xy_racke","12","0.6","0.395307333333333","26.0279","0.735930333333333","0.264069666666667"
"ordered_fill","Ordered Fill on Fixed Permutation Matrix","hybrid_xy_racke","13","0.6","0.412318","27.8102","0.739503666666667","0.260496333333333"
"ordered_fill","Ordered Fill on Fixed Permutation Matrix","hybrid_xy_racke","14","0.6","0.426739","29.2695","0.744258666666667","0.255741333333333"
"ordered_fill","Ordered Fill on Fixed Permutation Matrix","hybrid_xy_racke","15","0.6","0.438994666666667","30.3672","0.748881","0.251119"
