"model","routing","seed","phase_index","average_load","accepted_rate","avg_packet_latency","xy_fraction","racke_fraction"
"linear_scale","hybrid_xy_racke","2202","2","0.3","0.300963","11.1554","1","0"
"linear_scale","hybrid_xy_racke","2202","3","0.4","0.349556","11.2645","1","0"
"linear_scale","hybrid_xy_racke","2202","4","0.5","0.399469","13.9408","1","0"
"linear_scale","hybrid_xy_racke","2202","5","0.6","0.448139","23.1783","0.761825","0.238175"
"linear_scale","hybrid_xy_racke","2202","6","0.7","0.497556","29.7988","0.580302","0.419698"
"linear_scale","hybrid_xy_racke","2202","7","0.8","0.546481","35.3698","0.368062","0.631938"
"linear_scale","hybrid_xy_racke","2202","8","0.8","0.582963","40.5557","0.298163","0.701837"
"linear_scale","hybrid_xy_racke","2202","9","0.8","0.6085","44.6577","0.3466","0.6534"
"linear_scale","hybrid_xy_racke","2203","0","0.1","0.100037","10.967","1","0"
"linear_scale","hybrid_xy_racke","2203","1","0.2","0.149444","11.0377","1","0"
"linear_scale","hybrid_xy_racke","2203","2","0.3","0.302481","11.1379","1","0"
"linear_scale","hybrid_xy_racke","2203","3","0.4","0.349222","11.2947","1","0"
"linear_scale","hybrid_xy_racke","2203","4","0.5","0.399099","14.2618","1","0"
"linear_scale","hybrid_xy_racke","2203","5","0.6","0.44938","23.7929","0.76104","0.23896"
"linear_scale","hybrid_xy_racke","2203","6","0.7","0.499896","29.4952","0.536642","0.463358"
"linear_scale","hybrid_xy_racke","2203","7","0.8","0.548475","37.2234","0.372873","0.627127"
"linear_scale","hybrid_xy_racke","2203","8","0.8","0.585212","42.2143","0.279269","0.720731"
"linear_scale","hybrid_xy_racke","2203","9","0.8","0.61206","44.5006","0.325628","0.674372"
"ordered_fill","dim_order","2201","0","0.1","0.0994815","8","1","0"
"ordered_fill","dim_order","2201","1","0.2","0.148963","8.23309","1","0"
"ordered_fill","dim_order","2201","2","0.3","0.301222","8.89431","1","0"
"ordered_fill","dim_order","2201","3","0.4","0.350296","8.95455","1","0"
"ordered_fill","dim_order","2201","4","0.5","0.400901","9.41524","1","0"
"ordered_fill","dim_order","2201","5","0.6","0.438574","32.2554","1","0"
"ordered_fill","dim_order","2201","6","0.7","0.466015","114.502","1","0"
"ordered_fill","dim_order","2201","7","0.8","0.499679","238.872","1","0"
"ordered_fill","dim_order","2201","8","0.8","0.523614","385.435","1","0"
"ordered_fill","dim_order","2201","9","0.8","0.541366","546.617","1","0"
"ordered_fill","dim_order","2202","0","0.1","0.100148","8","1","0"
"ordered_fill","dim_order","2202","1","0.2","0.149204","8.21298","1","0"
"ordered_fill","dim_order","2202","2","0.3","0.298889","8.89959","1","0"
"ordered_fill","dim_order","2202","3","0.4","0.349056","8.95195","1","0"
"ordered_fill","dim_order","2202","4","0.5","0.399395","9.41623","1","0"
"ordered_fill","dim_order","2202","5","0.6","0.437315","36.9142","1","0"
"ordered_fill","dim_order","2202","6","0.7","0.465481","119.917","1","0"
"ordered_fill","dim_order","2202","7","0.8","0.498975","251.823","1","0"
"ordered_fill","dim_order","2202","8","0.8","0.522915","402.779","1","0"
"ordered_fill","dim_order","2202","9","0.8","0.540319","562.805","1","0"
"ordered_fill","dim_order","2203","0","0.1","0.0995556","8","1","0"
"ordered_fill","dim_order","2203","1","0.2","0.148833","8.2109","1","0"
"ordered_fill","dim_order","2203","2","0.3","0.300741","8.88416","1","0"
"ordered_fill","dim_order","2203","3","0.4","0.349907","8.95143","1","0"
"ordered_fill","dim_order","2203","4","0.5","0.400481","9.41826","1","0"
"ordered_fill","dim_order","2203","5","0.6","0.43925","35.6787","1","0"
"ordered_fill","dim_order","2203","6","0.7","0.467326","118.885","1","0"
"ordered_fill","dim_order","2203","7","0.8","0.500957","246.032","1","0"
"ordered_fill","dim_order","2203","8","0.8","0.524058","395.27","1","0"
"ordered_fill","dim_order","2203","9","0.8","0.542014","555.232","1","0"
"ordered_fill","racke_tree","2201","0","0.1","0.0994074","10.3268","0","1"
"ordered_fill","racke_tree","2201","1","0.2","0.14887","10.978","0","1"
"ordered_fill","racke_tree","2201","2","0.3","0.301111","12.2891","0","1"
"ordered_fill","racke_tree","2201","3","0.4","0.350167","12.3875","0","1"
"ordered_fill","racke_tree","2201","4","0.5","0.400778","12.7424","0","1"
"ordered_fill","racke_tree","2201","5","0.6","0.449778","13.0956","0","1"
"ordered_fill","racke_tree","2201","6","0.7","0.499496","13.4811","0","1"
"ordered_fill","racke_tree","2201","7","0.8","0.550259","13.8146","0","1"
"ordered_fill","racke_tree","2201","8","0.8","0.585767","13.9985","0","1"
"ordered_fill","racke_tree","2201","9","0.8","0.613194","14.1404","0","1"
"ordered_fill","racke_tree","2202","0","0.1","0.100037","10.3506","0","1"
"ordered_fill","racke_tree","2202","1","0.2","0.149111","10.9642","0","1"
"ordered_fill","racke_tree","2202","2","0.3","0.298667","12.2665","0","1"
"ordered_fill","racke_tree","2202","3","0.4","0.348907","12.3956","0","1"
"ordered_fill","racke_tree","2202","4","0.5","0.399284","12.7537","0","1"
"ordered_fill","racke_tree","2202","5","0.6","0.448352","13.0932","0","1"
"ordered_fill","racke_tree","2202","6","0.7","0.498363","13.4822","0","1"
"ordered_fill","racke_tree","2202","7","0.8","0.548846","13.7939","0","1"
"ordered_fill","racke_tree","2202","8","0.8","0.584439","13.9863","0","1"
"ordered_fill","racke_tree","2202","9","0.8","0.611255","14.1124","0","1"
"ordered_fill","racke_tree","2203","0","0.1","0.0994444","10.3181","0","1"
"ordered_fill","racke_tree","2203","1","0.2","0.148778","10.9602","0","1"
"ordered_fill","racke_tree","2203","2","0.3","0.300444","12.2406","0","1"
"ordered_fill","racke_tree","2203","3","0.4","0.349704","12.4032","0","1"
"ordered_fill","racke_tree","2203","4","0.5","0.40037","12.7575","0","1"
"ordered_fill","racke_tree","2203","5","0.6","0.450426","13.1068","0","1"
"ordered_fill","racke_tree","2203","6","0.7","0.500593","13.4882","0","1"
"ordered_fill","racke_tree","2203","7","0.8","0.55008","13.791","0","1"
"ordered_fill","racke_tree","2203","8","0.8","0.586095","13.9861","0","1"
"ordered_fill","racke_tree","2203","9","0.8","0.612736","14.1146","0","1"
"ordered_fill","hybrid_xy_racke","2201","0","0.1","0.0994815","8","1","0"
"ordered_fill","hybrid_xy_racke","2201","1","0.2","0.148963","8.23309","1","0"
"ordered_fill","hybrid_xy_racke","2201","2","0.3","0.301222","8.89431","1","0"
"ordered_fill","hybrid_xy_racke","2201","3","0.4","0.350296","8.95455","1","0"
"ordered_fill","hybrid_xy_racke","2201","4","0.5","0.400901","9.41524","1","0"
"ordered_fill","hybrid_xy_racke","2201","5","0.6","0.449731","19.7329","0.619424","0.380576"
"ordered_fill","hybrid_xy_racke","2201","6","0.7","0.497185","46.508","0.332549","0.667451"
"ordered_fill","hybrid_xy_racke","2201","7","0.8","0.546049","51.2934","0.279842","0.720158"
"ordered_fill","hybrid_xy_racke","2201","8","0.8","0.584201","58.701","0.280173","0.719827"
"ordered_fill","hybrid_xy_racke","2201","9","0.8","0.611407","58.9387","0.31204","0.68796"
"ordered_fill","hybrid_xy_racke","2202","0","0.1","0.100148","8","1","0"
"ordered_fill","hybrid_xy_racke","2202","1","0.2","0.149204","8.21298","1","0"
"ordered_fill","hybrid_xy_racke","2202","2","0.3","0.298889","8.89959","1","0"
"ordered_fill","hybrid_xy_racke","2202","3","0.4","0.349056","8.95195","1","0"
"ordered_fill","hybrid_xy_racke","2202","4","0.5","0.399395","9.41623","1","0"
"ordered_fill","hybrid_xy_racke","2202","5","0.6","0.448315","21.8646","0.604511","0.395489"
"ordered_fill","hybrid_xy_racke","2202","6","0.7","0.494141","49.5117","0.279546","0.720454"
"ordered_fill","hybrid_xy_racke","2202","7","0.8","0.547099","54.2794","0.292571","0.707429"
"ordered_fill","hybrid_xy_racke","2202","8","0.8","0.582196","54.5716","0.351638","0.648362"
"ordered_fill","hybrid_xy_racke","2202","9","0.8","0.60956","56.4489","0.281508","0.718492"
"ordered_fill","hybrid_xy_racke","2203","0","0.1","0.0995556","8","1","0"
"ordered_fill","hybrid_xy_racke","2203","1","0.2","0.148833","8.2109","1","0"
"ordered_fill","hybrid_xy_racke","2203","2","0.3","0.300741","8.88416","1","0"
"ordered_fill","hybrid_xy_racke","2203","3","0.4","0.349907","8.95143","1","0"
"ordered_fill","hybrid_xy_racke","2203","4","0.5","0.400481","9.41826","1","0"
"ordered_fill","hybrid_xy_racke","2203","5","0.6","0.449593","22.6683","0.607222","0.392778"
"ordered_fill","hybrid_xy_racke","2203","6","0.7","0.498363","36.9359","0.320787","0.679213"
"ordered_fill","hybrid_xy_racke","2203","7","0.8","0.548136","41.1651","0.347891","0.652109"
"ordered_fill","hybrid_xy_racke","2203","8","0.8","0.583175","45.0575","0.343727","0.656273"
"ordered_fill","hybrid_xy_racke","2203","9","0.8","0.610384","50.2864","0.297182","0.702818"
