"model","model_title","routing","phase_index","average_load","accepted_rate_avg","avg_packet_latency_avg","xy_fraction_avg","racke_fraction_avg"
"ordered_fill","Ordered Fill on Fixed Permutation Matrix","racke_tree","5","0.6","0.449518666666667","13.0985333333333","0","1"
"ordered_fill","Ordered Fill on Fixed Permutation Matrix","racke_tree","6","0.7","0.499484","13.4838333333333","0","1"
"ordered_fill","Ordered Fill on Fixed Permutation Matrix","racke_tree","7","0.8","0.549728333333333","13.7998333333333","0","1"
"ordered_fill","Ordered Fill on Fixed Permutation Matrix","racke_tree","8","0.8","0.585433666666667","13.9903","0","1"
"ordered_fill","Ordered Fill on Fixed Permutation Matrix","racke_tree","9","0.8","0.612395","14.1224666666667","0","1"
"ordered_fill","Ordered Fill on Fixed Permutation Matrix","hybrid_xy_racke","0","0.1","0.0997283666666667","8","1","0"
"ordered_fill","Ordered Fill on Fixed Permutation Matrix","hybrid_xy_racke","1","0.2","0.149","8.21899","1","0"
"ordered_fill","Ordered Fill on Fixed Permutation Matrix","hybrid_xy_racke","2","0.3","0.300284","8.89268666666667","1","0"
"ordered_fill","Ordered Fill on Fixed Permutation Matrix","hybrid_xy_racke","3","0.4","0.349753","8.95264333333333","1","0"
"ordered_fill","Ordered Fill on Fixed Permutation Matrix","hybrid_xy_racke","4","0.5","0.400259","9.41657666666667","1","0"
"ordered_fill","Ordered Fill on Fixed Permutation Matrix","hybrid_xy_racke","5","0.6","0.449213","21.4219333333333","0.610385666666667","0.389614333333333"
"ordered_fill","Ordered Fill on Fixed Permutation Matrix","hybrid_xy_racke","6","0.7","0.496563","44.3185333333333","0.310960666666667","0.689039333333333"
"ordered_fill","Ordered Fill on Fixed Permutation Matrix","hybrid_xy_racke","7","0.8","0.547094666666667","48.9126333333333","0.306768","0.693232"
"ordered_fill","Ordered Fill on Fixed Permutation Matrix","hybrid_xy_racke","8","0.8","0.583190666666667","52.7767","0.325179333333333","0.674820666666667"
"ordered_fill","Ordered Fill on Fixed Permutation Matrix","hybrid_xy_racke","9","0.8","0.610450333333333","55.2246666666667","0.29691","0.70309"
