"routing","seed","phase_index","average_load","accepted_rate","avg_packet_latency","dr_fraction","dsl_fraction"
"dfm_dr","2205","15","0.8","0.388239","1234.33","1","0"
"dfm_dr","2205","16","0.8","0.402899","1352.04","1","0"
"dfm_dr","2205","17","0.8","0.415778","1472.2","1","0"
"dfm_dsl","2201","0","0.05","0.0496296","15.8905","0","1"
"dfm_dsl","2201","1","0.1","0.0750046","16.0223","0","1"
"dfm_dsl","2201","2","0.15","0.148815","16.2142","0","1"
"dfm_dsl","2201","3","0.2","0.173713","16.297","0","1"
"dfm_dsl","2201","4","0.25","0.19909","16.4178","0","1"
"dfm_dsl","2201","5","0.3","0.224674","16.526","0","1"
"dfm_dsl","2201","6","0.35","0.250165","16.6385","0","1"
"dfm_dsl","2201","7","0.4","0.275199","16.7458","0","1"
"dfm_dsl","2201","8","0.45","0.300041","16.8544","0","1"
"dfm_dsl","2201","9","0.5","0.324828","16.9626","0","1"
"dfm_dsl","2201","10","0.55","0.349527","17.0757","0","1"
"dfm_dsl","2201","11","0.6","0.374212","17.1914","0","1"
"dfm_dsl","2201","12","0.65","0.399141","17.3222","0","1"
"dfm_dsl","2201","13","0.7","0.424292","17.4718","0","1"
"dfm_dsl","2201","14","0.75","0.449315","17.6312","0","1"
"dfm_dsl","2201","15","0.8","0.474254","17.7978","0","1"
"dfm_dsl","2201","16","0.8","0.495906","17.9272","0","1"
"dfm_dsl","2201","17","0.8","0.514935","18.035","0","1"
"dfm_dsl","2202","0","0.05","0.0488333","15.908","0","1"
"dfm_dsl","2202","1","0.1","0.0736713","16.0388","0","1"
"dfm_dsl","2202","2","0.15","0.150565","16.2185","0","1"
"dfm_dsl","2202","3","0.2","0.175245","16.3194","0","1"
"dfm_dsl","2202","4","0.25","0.199799","16.421","0","1"
"dfm_dsl","2202","5","0.3","0.225141","16.5305","0","1"
"dfm_dsl","2202","6","0.35","0.250133","16.638","0","1"
"dfm_dsl","2202","7","0.4","0.274863","16.748","0","1"
"dfm_dsl","2202","8","0.45","0.299528","16.8502","0","1"
"dfm_dsl","2202","9","0.5","0.324682","16.9654","0","1"
"dfm_dsl","2202","10","0.55","0.34951","17.0763","0","1"
"dfm_dsl","2202","11","0.6","0.374414","17.1929","0","1"
"dfm_dsl","2202","12","0.65","0.399385","17.3255","0","1"
"dfm_dsl","2202","13","0.7","0.424513","17.4763","0","1"
"dfm_dsl","2202","14","0.75","0.449571","17.636","0","1"
"dfm_dsl","2202","15","0.8","0.474632","17.8013","0","1"
"dfm_dsl","2202","16","0.8","0.496307","17.9309","0","1"
"dfm_dsl","2202","17","0.8","0.515392","18.0389","0","1"
"dfm_dsl","2203","0","0.05","0.0495556","15.9568","0","1"
"dfm_dsl","2203","1","0.1","0.0752222","16.0437","0","1"
"dfm_dsl","2203","2","0.15","0.151213","16.2209","0","1"
"dfm_dsl","2203","3","0.2","0.176102","16.3176","0","1"
"dfm_dsl","2203","4","0.25","0.200469","16.4058","0","1"
"dfm_dsl","2203","5","0.3","0.225741","16.5203","0","1"
"dfm_dsl","2203","6","0.35","0.251007","16.6276","0","1"
"dfm_dsl","2203","7","0.4","0.275863","16.7352","0","1"
"dfm_dsl","2203","8","0.45","0.300989","16.8482","0","1"
"dfm_dsl","2203","9","0.5","0.325807","16.9551","0","1"
"dfm_dsl","2203","10","0.55","0.350684","17.0673","0","1"
"dfm_dsl","2203","11","0.6","0.375613","17.1902","0","1"
"dfm_dsl","2203","12","0.65","0.400634","17.3223","0","1"
"dfm_dsl","2203","13","0.7","0.42539","17.4721","0","1"
"dfm_dsl","2203","14","0.75","0.450377","17.6299","0","1"
"dfm_dsl","2203","15","0.8","0.475351","17.797","0","1"
"dfm_dsl","2203","16","0.8","0.496988","17.9276","0","1"
"dfm_dsl","2203","17","0.8","0.515918","18.033","0","1"
"dfm_dsl","2204","0","0.05","0.0500926","15.8532","0","1"
"dfm_dsl","2204","1","0.1","0.0744491","16.0009","0","1"
"dfm_dsl","2204","2","0.15","0.150787","16.2359","0","1"
"dfm_dsl","2204","3","0.2","0.175602","16.329","0","1"
"dfm_dsl","2204","4","0.25","0.199904","16.4219","0","1"
"dfm_dsl","2204","5","0.3","0.225262","16.5264","0","1"
"dfm_dsl","2204","6","0.35","0.249826","16.6325","0","1"
"dfm_dsl","2204","7","0.4","0.274898","16.7399","0","1"
"dfm_dsl","2204","8","0.45","0.300077","16.8443","0","1"
"dfm_dsl","2204","9","0.5","0.325181","16.9538","0","1"
"dfm_dsl","2204","10","0.55","0.350492","17.0699","0","1"
"dfm_dsl","2204","11","0.6","0.375332","17.1903","0","1"
"dfm_dsl","2204","12","0.65","0.400312","17.3249","0","1"
"dfm_dsl","2204","13","0.7","0.425336","17.4794","0","1"
"dfm_dsl","2204","14","0.75","0.450202","17.6385","0","1"
"dfm_dsl","2204","15","0.8","0.475155","17.8018","0","1"
"dfm_dsl","2204","16","0.8","0.496777","17.9309","0","1"
"dfm_dsl","2204","17","0.8","0.515883","18.0394","0","1"
"dfm_dsl","2205","0","0.05","0.0496019","15.9253","0","1"
"dfm_dsl","2205","1","0.1","0.0747176","16.0154","0","1"
"dfm_dsl","2205","2","0.15","0.150176","16.2432","0","1"
"dfm_dsl","2205","3","0.2","0.175833","16.3303","0","1"
"dfm_dsl","2205","4","0.25","0.200515","16.4289","0","1"
"dfm_dsl","2205","5","0.3","0.224984","16.5239","0","1"
"dfm_dsl","2205","6","0.35","0.249926","16.632","0","1"
"dfm_dsl","2205","7","0.4","0.27498","16.7398","0","1"
"dfm_dsl","2205","8","0.45","0.299763","16.8448","0","1"
"dfm_dsl","2205","9","0.5","0.324769","16.9549","0","1"
"dfm_dsl","2205","10","0.55","0.349703","17.0709","0","1"
"dfm_dsl","2205","11","0.6","0.374804","17.193","0","1"
"dfm_dsl","2205","12","0.65","0.399908","17.3283","0","1"
"dfm_dsl","2205","13","0.7","0.42466","17.4749","0","1"
"dfm_dsl","2205","14","0.75","0.449796","17.6381","0","1"
"dfm_dsl","2205","15","0.8","0.47494","17.8073","0","1"
"dfm_dsl","2205","16","0.8","0.496723","17.9395","0","1"
"dfm_dsl","2205","17","0.8","0.515685","18.0482","0","1"
"dfm_hybrid_dr_dsl","2201","0","0.05","0.0497037","10.2072","1","0"
"dfm_hybrid_dr_dsl","2201","1","0.1","0.0751065","10.5103","0.9431724","0.0568276"
"dfm_hybrid_dr_dsl","2201","2","0.15","0.148741","11.6869","0.720075","0.279925"
"dfm_hybrid_dr_dsl","2201","3","0.2","0.173602","13.1983","0.255902","0.744098"
"dfm_hybrid_dr_dsl","2201","4","0.25","0.199025","14.5772","0.0102910000000001","0.989709"
"dfm_hybrid_dr_dsl","2201","5","0.3","0.224623","15.3074","0","1"
"dfm_hybrid_dr_dsl","2201","6","0.35","0.250157","15.7638","0","1"
"dfm_hybrid_dr_dsl","2201","7","0.4","0.275157","16.0852","0","1"
"dfm_hybrid_dr_dsl","2201","8","0.45","0.300021","16.3365","0","1"
"dfm_hybrid_dr_dsl","2201","9","0.5","0.324807","16.5419","0","1"
"dfm_hybrid_dr_dsl","2201","10","0.55","0.349506","16.7244","0","1"
"dfm_hybrid_dr_dsl","2201","11","0.6","0.374194","16.8964","0","1"
"dfm_hybrid_dr_dsl","2201","12","0.65","0.399117","17.0723","0","1"
"dfm_hybrid_dr_dsl","2201","13","0.7","0.424275","17.2569","0","1"
"dfm_hybrid_dr_dsl","2201","14","0.75","0.449303","17.4448","0","1"
"dfm_hybrid_dr_dsl","2201","15","0.8","0.474241","17.6354","0","1"
"dfm_hybrid_dr_dsl","2201","16","0.8","0.495894","17.7865","0","1"
"dfm_hybrid_dr_dsl","2201","17","0.8","0.514913","17.9091","0","1"
"dfm_hybrid_dr_dsl","2202","0","0.05","0.0489259","10.1824","1","0"
"dfm_hybrid_dr_dsl","2202","1","0.1","0.0737546","10.3978","0.99259884","0.00740116"
"dfm_hybrid_dr_dsl","2202","2","0.15","0.150731","11.3464","0.841076","0.158924"
"dfm_hybrid_dr_dsl","2202","3","0.2","0.175148","13.2989","0.21367","0.78633"
"dfm_hybrid_dr_dsl","2202","4","0.25","0.199747","14.6518","0","1"
"dfm_hybrid_dr_dsl","2202","5","0.3","0.225111","15.3509","0","1"
"dfm_hybrid_dr_dsl","2202","6","0.35","0.250094","15.7886","0","1"
"dfm_hybrid_dr_dsl","2202","7","0.4","0.274827","16.0958","0","1"
"dfm_hybrid_dr_dsl","2202","8","0.45","0.299499","16.3408","0","1"
"dfm_hybrid_dr_dsl","2202","9","0.5","0.324662","16.5534","0","1"
"dfm_hybrid_dr_dsl","2202","10","0.55","0.349489","16.7384","0","1"
"dfm_hybrid_dr_dsl","2202","11","0.6","0.374399","16.9125","0","1"
"dfm_hybrid_dr_dsl","2202","12","0.65","0.399367","17.0869","0","1"
"dfm_hybrid_dr_dsl","2202","13","0.7","0.424497","17.2714","0","1"
"dfm_hybrid_dr_dsl","2202","14","0.75","0.44956","17.4601","0","1"
"dfm_hybrid_dr_dsl","2202","15","0.8","0.474619","17.6518","0","1"
"dfm_hybrid_dr_dsl","2202","16","0.8","0.496294","17.8025","0","1"
"dfm_hybrid_dr_dsl","2202","17","0.8","0.515385","17.9224","0","1"
"dfm_hybrid_dr_dsl","2203","0","0.05","0.0496296","10.2006","1","0"
"dfm_hybrid_dr_dsl","2203","1","0.1","0.0753333","10.4854","0.9327846","0.0672154"
"dfm_hybrid_dr_dsl","2203","2","0.15","0.15113","12.0711","0.734361","0.265639"
"dfm_hybrid_dr_dsl","2203","3","0.2","0.175981","13.8294","0.190437","0.809563"
"dfm_hybrid_dr_dsl","2203","4","0.25","0.200395","14.9474","0","1"
"dfm_hybrid_dr_dsl","2203","5","0.3","0.225688","15.5518","0","1"
"dfm_hybrid_dr_dsl","2203","6","0.35","0.250959","15.9305","0","1"
"dfm_hybrid_dr_dsl","2203","7","0.4","0.275823","16.2046","0","1"
"dfm_hybrid_dr_dsl","2203","8","0.45","0.300952","16.4283","0","1"
"dfm_hybrid_dr_dsl","2203","9","0.5","0.325782","16.6195","0","1"
"dfm_hybrid_dr_dsl","2203","10","0.55","0.35066","16.7927","0","1"
