"routing","seed","phase_index","average_load","accepted_rate","avg_packet_latency","dr_fraction","dsl_fraction"
"dfm_dr","2201","0","0.05","0.0497037","10.0523","1","0"
"dfm_dr","2201","1","0.1","0.0751065","10.0866","1","0"
"dfm_dr","2201","2","0.15","0.148833","10.17","1","0"
"dfm_dr","2201","3","0.2","0.17375","10.2196","1","0"
"dfm_dr","2201","4","0.25","0.199185","10.2736","1","0"
"dfm_dr","2201","5","0.3","0.224796","10.3626","1","0"
"dfm_dr","2201","6","0.35","0.250293","10.5107","1","0"
"dfm_dr","2201","7","0.4","0.27527","10.8588","1","0"
"dfm_dr","2201","8","0.45","0.299553","13.6247","1","0"
"dfm_dr","2201","9","0.5","0.322197","26.8074","1","0"
"dfm_dr","2201","10","0.55","0.343437","56.4803","1","0"
"dfm_dr","2201","11","0.6","0.363676","103.576","1","0"
"dfm_dr","2201","12","0.65","0.383407","167.174","1","0"
"dfm_dr","2201","13","0.7","0.402614","245.191","1","0"
"dfm_dr","2201","14","0.75","0.421605","335.14","1","0"
"dfm_dr","2201","15","0.8","0.440079","434.745","1","0"
"dfm_dr","2201","16","0.8","0.456129","543.341","1","0"
"dfm_dr","2201","17","0.8","0.470153","658.458","1","0"
"dfm_dr","2202","0","0.05","0.0489259","10.0526","1","0"
"dfm_dr","2202","1","0.1","0.0737685","10.0809","1","0"
"dfm_dr","2202","2","0.15","0.150806","10.1744","1","0"
"dfm_dr","2202","3","0.2","0.175352","10.2191","1","0"
"dfm_dr","2202","4","0.25","0.199917","10.285","1","0"
"dfm_dr","2202","5","0.3","0.225266","10.368","1","0"
"dfm_dr","2202","6","0.35","0.250241","10.5088","1","0"
"dfm_dr","2202","7","0.4","0.27494","10.8068","1","0"
"dfm_dr","2202","8","0.45","0.299269","13.1382","1","0"
"dfm_dr","2202","9","0.5","0.321993","25.5295","1","0"
"dfm_dr","2202","10","0.55","0.343258","55.6176","1","0"
"dfm_dr","2202","11","0.6","0.363675","103.874","1","0"
"dfm_dr","2202","12","0.65","0.38333","168.692","1","0"
"dfm_dr","2202","13","0.7","0.402635","247.574","1","0"
"dfm_dr","2202","14","0.75","0.421593","337.816","1","0"
"dfm_dr","2202","15","0.8","0.440219","437.405","1","0"
"dfm_dr","2202","16","0.8","0.456296","546.253","1","0"
"dfm_dr","2202","17","0.8","0.470407","661.475","1","0"
"dfm_dr","2203","0","0.05","0.0496296","10.0521","1","0"
"dfm_dr","2203","1","0.1","0.0753426","10.0874","1","0"
"dfm_dr","2203","2","0.15","0.151296","10.188","1","0"
"dfm_dr","2203","3","0.2","0.176148","10.2248","1","0"
"dfm_dr","2203","4","0.25","0.200531","10.2986","1","0"
"dfm_dr","2203","5","0.3","0.225843","10.3816","1","0"
"dfm_dr","2203","6","0.35","0.251094","10.5366","1","0"
"dfm_dr","2203","7","0.4","0.275935","10.8934","1","0"
"dfm_dr","2203","8","0.45","0.300485","14.0008","1","0"
"dfm_dr","2203","9","0.5","0.323167","27.1787","1","0"
"dfm_dr","2203","10","0.55","0.344356","57.2752","1","0"
"dfm_dr","2203","11","0.6","0.364874","105.633","1","0"
"dfm_dr","2203","12","0.65","0.384604","169.874","1","0"
"dfm_dr","2203","13","0.7","0.403772","248.022","1","0"
"dfm_dr","2203","14","0.75","0.422499","337.872","1","0"
"dfm_dr","2203","15","0.8","0.440897","437.161","1","0"
"dfm_dr","2203","16","0.8","0.457057","545.42","1","0"
"dfm_dr","2203","17","0.8","0.471026","660.623","1","0"
"dfm_dr","2204","0","0.05","0.0501667","10.0517","1","0"
"dfm_dr","2204","1","0.1","0.0745602","10.0845","1","0"
"dfm_dr","2204","2","0.15","0.150972","10.1771","1","0"
"dfm_dr","2204","3","0.2","0.175681","10.2148","1","0"
